"Active","Aktiv"
"Additional Block","Zusätzlicher Block"
"Ascending","Aufsteigend"
"Attribute","Attribut"
"Attribute #1","Attribut #1"
"Attribute #2","Attribut #2"
"Attribute #3","Attribut #3"
"Attribute #4","Attribut #4"
"Attribute #5","Attribut #5"
"Attribute Landing Page","Attributeinstiegsseite"
"Attribute Landing Pages","Attributeinstiegsseiten"
"Attribute Landing Pages > Groups","Attributeinstiegsseiten > Gruppen"
"Attribute Landing Pages > Pages","Attributeinstiegsseiten > Seiten"
"Attribute Set","Attributset"
"Attribute Value","Attributwert"
"Attribute Value #1","Attributwert #1"
"Attribute Value #2","Attributwert #2"
"Attribute Value #3","Attributwert #3"
"Attribute Value #4","Attributwert #4"
"Attribute Value #5","Attributwert #5"
"Availability","Verfügbarkeit"
"Available Attributes","Verfügbare Attribute"
"Before CMS Block","Vor CMS Block"
"Before Description","Vor Beschreibung"
"Before Headline","Vor Überschrift"
"Before Product List","Vor Produktliste"
"Check Active","Prüfung Aktiv"
"Created At","Angelegt am"
"Descending","Absteigend"
"Description","Beschreibung"
"Direction","Richtung"
"Groups","Gruppen"
"Image","Bild"
"Image Position","Bildposition"
"Headline","Überschrift"
"Logo","Logo"
"Meta Description","Meta Beschreibung"
"Meta Keywords","Meta Schlüsselwörter"
"Pages","Seiten"
"Page Title","Seitentitel"
"SEO Block","SEO Block"
"The group has been created.","Die Gruppe wurde erstellt."
"The group has been deleted.","Die Gruppe wurde gelöscht."
"The group has been saved.","Die Gruppe wurde gespeichert."
"The page has been created.","Die Seite wurde erstellt."
"The page has been deleted.","Die Seite wurde gelöscht."
"The page has been saved.","Die Seite wurde gespeichert."
"The url key is use by a CMS page!","Der Url-Schlüssel wird bereits von einer CMS Seite verwendet!"
"The url key is use by a URL rewrite!","Der Url-Schlüssel wird bereits von einer URL Weiterleitung verwendet!"
"The url key is use by a catalog attribute landing page!","Der Url-Schlüssel wird bereits von einer Attributeinstiegsseite verwendet!"
"The url key is use by another catalog attribute landing page!","Der Url-Schlüssel wird bereits von einer anderen Attributeinstiegsseite verwendet!"
"The url key is use by a catalog attribute landing group!","Der Url-Schlüssel wird bereits von einer Attributeinstiegsseitengruppe verwendet!"
"The url key is use by another catalog attribute landing group!","Der Url-Schlüssel wird bereits von einer anderen Attributeinstiegsseitengruppe verwendet!"
"Thumbnail","Vorschaubild"
"Unable to find the group with id: %d!","Die Gruppe mit der Id: %d wurde nicht gefunden!"
"Unable to find the page with id: %d!","Die Seite mit der Id: %d wurde nicht gefunden!"
"Updated At","Geändert am"
"Url Key","Url-Schlüssel"
"Value #1","Wert #1"
"Value #2","Wert #2"
"Value #3","Wert #3"
"Value #4","Wert #4"
"Value #5","Wert #5"
"View Products","Produkte ansehen"
